Year,StartDate,EndDate,Product,Overall Range Min,Overall Range Max,Common Price
2023,2023-05-25,2023-05-31,Gasoline (RON95),56.7,70.1,70.25
2023,2023-05-25,2023-05-31,Gasoline (RON91),53.0,65.75,61.62
2023,2023-05-25,2023-05-31,Diesel,51.25,62.3,59.98
2023,2023-05-25,2023-05-31,Diesel Plus,47.55,55.7,53.54
2023,2023-05-25,2023-05-31,Kerosene,53.15,59.95,57.53
2023,2023-11-03,2023-11-09,Gasoline (RON97/100),60.7,86.85,73.85
2023,2023-11-03,2023-11-09,Gasoline (RON95),58.35,77.25,69.85
2023,2023-11-03,2023-11-09,Gasoline (RON91),57.65,76.25,64.05
2023,2023-11-03,2023-11-09,Diesel,58.25,70.9,66.4
2023,2023-11-03,2023-11-09,Diesel Plus,63.95,83.95,75.85
2023,2023-11-03,2023-11-09,Kerosene,75.85,88.19,77.46
2023,2023-11-09,2023-11-15,Gasoline (RON97/100),59.75,86.4,72.4
2023,2023-11-09,2023-11-15,Gasoline (RON95),57.94,76.8,69.4
2023,2023-11-09,2023-11-15,Gasoline (RON91),57.25,75.8,63.6
2023,2023-11-09,2023-11-15,Diesel,57.4,69.7,65.3
2023,2023-11-09,2023-11-15,Diesel Plus,62.85,82.85,67.4
2023,2023-11-09,2023-11-15,Kerosene,74.0,87.14,76.41
2023,2023-11-16,2023-11-22,Gasoline (RON97/100),57.1,85.7,71.7
2023,2023-11-16,2023-11-22,Gasoline (RON95),56.1,76.1,68.7
2023,2023-11-16,2023-11-22,Gasoline (RON91),55.0,75.1,62.9
2023,2023-11-16,2023-11-22,Diesel,54.25,66.7,62.3
2023,2023-11-16,2023-11-22,Diesel Plus,59.85,79.85,64.4
2023,2023-11-16,2023-11-22,Kerosene,72.0,84.6,74.11
2023,2023-11-23,2023-11-29,Gasoline (RON97/100),56.8,84.95,76.1
2023,2023-11-23,2023-11-29,Gasoline (RON95),55.8,75.35,67.75
2023,2023-11-23,2023-11-29,Gasoline (RON91),55.0,74.35,64.25
2023,2023-11-23,2023-11-29,Diesel,53.6,66.05,61.65
2023,2023-11-23,2023-11-29,Diesel Plus,57.2,79.2,69.55
2023,2023-11-23,2023-11-29,Kerosene,71.4,83.95,73.51
2023,2023-11-30,2023-12-06,Gasoline (RON97/100),56.3,77.4,71.35
2023,2023-11-30,2023-12-06,Gasoline (RON95),55.3,75.35,67.75
2023,2023-11-30,2023-12-06,Gasoline (RON91),54.8,74.35,64.25
2023,2023-11-30,2023-12-06,Diesel,53.6,66.35,61.95
2023,2023-11-30,2023-12-06,Diesel Plus,57.2,79.5,69.85
2023,2023-11-30,2023-12-06,Kerosene,71.4,84.8,74.16
