YEAR,CIRCUMFERENCIAL AND RADIAL ROAD,NAME,CAR,PUJ,UV,TAXI,PUB,TRUCK,TRAILER,MC,TRICYCLE,TOTAL
2013,R2,TAFT AVE.,"51,640","14,176",,,"1,281",435,53,"10,015",303,"77,903"
2013,R3,SSH,"97,771",61,,,"1,492","7,323","2,508","22,758",62,"131,975"
2013,R4,SHAW BLVD.,"56,753","11,346",,,56,"1,458",64,"18,739",14,"88,430"
2013,R5,ORTIGAS AVE.,"66,856","11,843",,,837,"4,336",562,"21,748",1,"106,183"
2013,R6,MAGSAYSAY BLVD.,"53,279","17,310",,,974,"2,118",379,"18,032",525,"92,617"
2013,R6,AURORA BLVD.,"75,264","20,340",,,127,"4,255",386,"21,484",166,"122,022"
2013,R7,QUEZON AVE.,"131,076","15,404",,,"1,789","5,326",316,"29,298",400,"183,609"
2013,R7,COMMONWEALTH AVE.,"167,583","19,076",,,"7,525","6,084",306,36.745,258,"200,869"
2013,R8,A. BONIFACIO,"46,390","7,206",,,"1,902","10,038","2,784","11,168","1,082","80,570"
2013,R9,RIZAL AVE.,"32,226","14,099",,,490,"1,987",7,"19,688","3,172","71,669"
2013,R10,DEL PAN,"31,887",24,,,24,"4,455","6,566","9,956",627,"53,539"
2013,,MARCOS HIGHWAY,"117,772","19,259",,,215,"7,237",475,"28,134",126,"173,218"
2013,,MCARTHUR HIGHWAY,"33,565","10,765",,,"2,173","3,538",305,"23,062",211,"73,619"
2012,C1,RECTO,"20,926","15,845",,,872,702,250,"7,359","1,828","47,782"
2012,C2,MENDOZA,"40,034","1,514",,,319,"5,253","1,237","10,992",325,"59,674"
2012,C2,PRES. QUIRINO AVE.,"99,264","5,019",,,500,"7,788","2,556","23,336",362,"138,825"
2012,C3,ARANETA AVE.,"51,390","1,432",,,55,"4,401",411,"14,730",671,"73,090"
2012,C4,EDSA,"264,067","3,292",,,"15,214","5,023",43,"38,859",6,"326,504"
2012,C5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,"122,403","2,274",,,52,"7,289",554,"17,510","7,905","157,987"
2012,R1,ROXAS BLVD.,"123,505",300,,,"2,856",363,37,"23,168",13,"150,242"
2012,R2,TAFT AVE.,"27,273","6,344",,,"2,878",223,13,"5,151",394,"42,276"
2012,R3,SSH,"92,053",20,,,"1,040","7,703","3,413","18,186",45,"122,460"
2012,R4,SHAW BLVD.,"58,292","11,637",,,56,"1,493",200,"15,539",0,"87,217"
2012,R5,ORTIGAS AVE.,"73,479","7,982",,,"1,077","1,853",212,"17,838",0,"102,441"
2012,R6,MAGSAYSAY BLVD.,"60,568","6,974",,,"1,377","2,269",289,"14,264",317,"86,058"
2012,R6,AURORA BLVD.,"78,434","19,215",,,173,"4,124",326,"21,890",608,"124,770"
2012,R7,QUEZON AVE.,"106,611","11,589",,,"2,074","3,110",389,"19,826",81,"143,680"
2012,R7,COMMONWEALTH AVE.,"144,758","13,173",,,"6,690","5,666",0,"27,105",417,"197,809"
2012,R8,A. BONIFACIO,"51,790","9,414",,,"2,485","9,509","2,495","12,200",959,"88,852"
2012,R9,RIZAL AVE.,"28,956","14,606",,,479,"1,810",6,"13,634","2,487","61,978"
2012,R10,DEL PAN,NO DATA AVAILABLE,,,,,,,,,
2012,,MARCOS HIGHWAY,"89,053","12,743",,,105,"7,030",749,"22,850",394,"132,924"
2012,,MCARTHUR HIGHWAY,"35,330","11,087",,,"2,485","4,236",435,"18,682",119,"72,374"
