Year,Month,For Lifeline Customers,kWh Consumption,Total Bill
2013,4,FALSE,500,12.1019
2013,4,FALSE,600,12.0926
2013,4,FALSE,700,12.0932
2013,4,FALSE,800,12.0999
2013,4,FALSE,900,12.1051
2013,4,FALSE,1000,12.1092
2013,4,FALSE,1500,12.155
2013,4,FALSE,3000,12.2758
2013,4,FALSE,5000,12.3241
2013,5,TRUE,50,5.548
2013,5,TRUE,70,7.0555
2013,5,TRUE,100,8.5472
2013,5,FALSE,200,10.6235
2013,5,FALSE,300,10.9796
2013,5,FALSE,400,11.3361
2013,5,FALSE,500,11.9834
2013,5,FALSE,600,11.9741
2013,5,FALSE,700,11.9747
2013,5,FALSE,800,11.9814
2013,5,FALSE,900,11.9866
2013,5,FALSE,1000,11.9907
2013,5,FALSE,1500,12.0365
2013,5,FALSE,3000,12.1573
2013,5,FALSE,5000,12.2056
2013,6,TRUE,50,5.6548
2013,6,TRUE,70,7.1977
2013,6,TRUE,100,8.7248
2013,6,FALSE,200,10.8425
2013,6,FALSE,300,11.1986
2013,6,FALSE,400,11.5551
2013,6,FALSE,500,12.2023
2013,6,FALSE,600,12.1931
2013,6,FALSE,700,12.1936
2013,6,FALSE,800,12.2003
2013,6,FALSE,900,12.2055
2013,6,FALSE,1000,12.2096
2013,6,FALSE,1500,12.2554
2013,6,FALSE,3000,12.3762
2013,6,FALSE,5000,12.4245
2013,7,TRUE,50,5.5371
2013,7,TRUE,70,7.0249
2013,7,TRUE,100,8.4967
2013,7,FALSE,200,10.5409
2013,7,FALSE,300,10.8964
2013,7,FALSE,400,11.2526
2013,7,FALSE,500,11.8997
2013,7,FALSE,600,11.8903
2013,7,FALSE,700,11.8908
2013,7,FALSE,800,11.8974
2013,7,FALSE,900,11.9026
2013,7,FALSE,1000,11.9067
2013,7,FALSE,1500,11.9523
2013,7,FALSE,3000,12.073
2013,7,FALSE,5000,12.1213
2013,8,TRUE,50,5.3559
2013,8,TRUE,70,6.7882
2013,8,TRUE,100,8.2045
2013,8,FALSE,200,10.1878
2013,8,FALSE,300,10.5433
2013,8,FALSE,400,10.8995
2013,8,FALSE,500,11.5465
2013,8,FALSE,600,11.5372
2013,8,FALSE,700,11.5377
2013,8,FALSE,800,11.5443
2013,8,FALSE,900,11.5494
2013,8,FALSE,1000,11.5535
2013,8,FALSE,1500,11.5992
2013,8,FALSE,3000,11.7199
2013,8,FALSE,5000,11.7681
2013,12,TRUE,50,5.7549
2013,12,TRUE,70,7.3288
2013,12,TRUE,100,8.8867
2013,12,FALSE,200,11.06
